단지명,회사명,공장대표주소(도로명),전화번호
천안제4일반산업단지,휴림로봇(주),충청남도 천안시 서북구 직산읍 4산단6길 27,041-590-1737
천안제4일반산업단지,한국컴퓨터(주),충청남도 천안시 서북구 직산읍 4산단3로 88,041-589-3310
천안제4일반산업단지,한국화낙(주),충청남도 천안시 서북구 직산읍 4산단5길 33,041-589-1940
천안마정일반산업단지,(주)태성기연,충청남도 천안시서북구 직산읍 마정리 510번지 마정지방산업단지,041-589-1000
천안산업기술일반산업단지,(주)엔씨티,"충청남도 천안시 서북구 직산읍 직산로 136, 번영관 3101, 3102호 (직산읍)",041-589-0814
천안산업기술일반산업단지,(주)에이앤디시스템,"충청남도 천안시 서북구 직산읍 직산로 136, 205호,206호,207호",041-589-0790
천안산업기술일반산업단지,씨케텍(주),충청남도 천안시서북구 직산읍 삼은리 511번지 영상미디어센터 112호,041-589-0770
천안산업기술일반산업단지,(주)네콘,"충청남도 천안시 서북구 직산읍 직산로 136, 영상미디어센터 연구동 110호",041-589-0766
천안산업기술일반산업단지,써밋디자인(주),충청남도 천안시서북구 직산읍 삼은리 43-5번지 천안밸리영상미디어센터 405호~406호,041-589-0755
천안산업기술일반산업단지,쓰리디텍,"충청남도 천안시 서북구 직산읍 직산로 136, 정보영상융합센터 513,514호 (천안밸리)",041-589-0580
천안제4일반산업단지,(주)엔스퀘어,충청남도 천안시 서북구 직산읍 4산단5길 11-3,041-589-0521
천안산업기술일반산업단지,우리생명과학(주),충청남도 천안시서북구 직산읍 삼은리 506 번지 충남테크노파크 번영관 3105호,041-589-0390
천안산업기술일반산업단지,디즈메카,충청남도 천안시서북구 직산읍 삼은리 43-5번지 충남테크노파크천안밸리 생산관,041-589-0333
천안산업기술일반산업단지,주식회사 티알에이디,"충청남도 천안시 서북구 직산읍 직산로 136, 생산관 2312호 (직산읍)",041-589-0333
천안산업기술일반산업단지,(주)비엔씨넷,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 번영관 3401호",041-589-0330
천안제3일반산업단지,(주)제일인더스트리,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 427호 (백석동)",041-589-0320
천안산업기술일반산업단지,(주)데카시스템,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 벤처관 3205호",041-589-0310
천안산업기술일반산업단지,에코바스,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 벤처관 1305, 1306, 1307",041-589-0306
천안산업기술일반산업단지,(주)하이메디코스,"충청남도 천안시 서북구 직산읍 직산로 136, 충남 테크노파크 성공관 202호",041-589-0300
천안산업기술일반산업단지,에이에스피반도체(주),"충청남도 천안시서북구 직산읍 삼은리 514번지 충남테크노파크 천안밸리 성공관 102호,202호",041-589-0271
천안산업기술일반산업단지,(주)콘체르토,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 생산관 2307~2310호",041-589-0250
천안산업기술일반산업단지,마이크로테크,충청남도 천안시서북구 직산읍 삼은리 43-5번지 충남테크노파크 생산관 1202호,041-589-0202
천안제4일반산업단지,보성티피엠(주),"충청남도 천안시 서북구 직산읍 2공단5로 115, 3동 3호",041-588-9986
천안산업기술일반산업단지,주식회사 에스티엘,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 정보영상융합센터 509호,510호",041-588-9815
천안산업기술일반산업단지,(주)에이엘티,충청남도 천안시서북구 직산읍 삼은리 43-22번지 벤처관 3307호,041-588-9340
천안마정일반산업단지,(주)현텍,충청남도 천안시 서북구 직산읍 마정1길 46,041-588-9230
천안제4일반산업단지,정진,"충청남도 천안시 서북구 직산읍 4산단5길 25-1, C동 101호 외 1",041-588-9201
천안산업기술일반산업단지,(주)정형테크,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 생산관 2202,2203",041-588-9191
천안제4일반산업단지,동호산업,충청남도 천안시 서북구 직산읍 4산단4로 60 B동3층,041-588-8326
천안산업기술일반산업단지,(주)머신앤비전,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 벤처관 2302호, 2303호, 2304호",041-588-8006
천안제4일반산업단지,서원 ,충청남도 천안시 서북구 직산읍 4산단3로 113 A동,041-588-7978
천안직산농공단지,(주)서우기술,충청남도 천안시 서북구 직산읍 금곡로 52-11 (주)신화정밀,041-588-7799
천안제3일반산업단지,(주)엠피씨,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 705, 706호 (백석동)",041-588-7100
천안직산농공단지,(주)에땅 직산공장,충청남도 천안시서북구 직산읍 부송리 72-18번지 외 1필지 외 1필지,041-588-4881
천안직산농공단지,(주)빛과사랑,충청남도 천안시서북구 직산읍 부송리 72-14번지,041-588-2700
천안산업기술일반산업단지,바이오 컨시(Bio-Quency),"충청남도 천안시 서북구 직산읍 직산로 136, 번영관 3306호",041-588-1222
천안제4일반산업단지,제이씨에프,충청남도 천안시 서북구 직산읍 2공단5로 117-4,041-588-1174
천안산업기술일반산업단지,(주)엠디알,"충청남도 천안시 서북구 직산읍 직산로 136, 번영관 2106호 (천안밸리)",041-588-0903
천안산업기술일반산업단지,트윈,"충청남도 천안시 서북구 직산읍 직산로 136, 정보영상융합센터 연구동 201호 (천안밸리)",041-588-0500
천안제4일반산업단지,한일전원공업(주),충청남도 천안시 서북구 직산읍 4산단4로 16 (본동),041-588-0027
천안산업기술일반산업단지,(주)화이버옵틱코리아,충청남도 천안시서북구 직산읍 삼은리 43-5번지 충남테크노파크천안밸리 생산관2109호,041-587-9911
천안산업기술일반산업단지,(주)센추리산업,"충청남도 천안시 서북구 직산읍 직산로 136 (재)충남테크노파크천안밸리 번영관 1303, 1308, 3306호, 정보영상관 413호",041-587-9809
천안제4일반산업단지,(주)원방테크,충청남도 천안시 서북구 직산읍 4산단6길 32 ((주)원방테크공장),041-587-9031
천안산업기술일반산업단지,디에스인스트루먼트,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 성공관 103,203",041-587-8870
천안산업기술일반산업단지,(주)삼정테크노,"충청남도 천안시 서북구 직산읍 직산로 136, 1301호,1302호,1303호,1304호(충남테크노파크천안밸리창업보육센터벤처관)",041-587-8858
천안산업기술일반산업단지,(주)하비코,"충청남도 천안시 서북구 직산읍 직산로 136, 2309호(충남테크노파크 번영관)",041-587-8377
천안마정일반산업단지,(주)동일테크롤,충청남도 천안시 서북구 직산읍 마정1길 14,041-587-8181
천안백석농공단지,(주)이지테크,"충청남도 천안시 서북구 백석공단3길 12, 1동 2층 (백석동)",041-587-8161
천안천흥일반산업단지,대진유니텍,충청남도 천안시서북구 성거읍 천흥리 316-6번지,041-587-8001
천안제4일반산업단지,제일윈텍(주) 제1공장,충청남도 천안시서북구 직산읍 신갈리 268번지,041-587-7024
천안제4일반산업단지,(주)씨케이도어,충청남도 천안시 서북구 직산읍 4산단4로 20,041-587-6760
천안산업기술일반산업단지,(주)구성엠에스,충청남도 천안시서북구 직산읍 삼은리 43번지 충남테크노파크 생산관 2201호,041-587-6350
천안제3일반산업단지,(주)제이케이코어,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 1011호 (백석동)",041-587-5890
천안백석농공단지,주식회사 이지테크,충청남도 천안시 서북구 백석공단3길 36 (백석동),041-587-5161
천안산업기술일반산업단지,(주)에드마임,"충청남도 천안시 서북구 직산읍 직산로 136, ,2402호(충남테크노파크 번영관)",041-587-5151
천안제4일반산업단지,(주)미래코리아,충청남도 천안시 서북구 직산읍 4산단5길 68,041-587-4100
천안제4일반산업단지,주식회사 미래코리아,충청남도 천안시 서북구 직산읍 4산단4로 27,041-587-4100
천안제4일반산업단지,나노씨엠에스(주),충청남도 천안시 서북구 직산읍 4산단4로 48,041-587-3901
천안제5일반산업단지,(주)콧데,충청남도 천안시 동남구 성남면 5산단2로 8,041-587-1375
천안제4일반산업단지,제이더블유하이텍,"충청남도 천안시 서북구 직산읍 4산단5길 25-14, C동 107호",041-587-1071
천안제4일반산업단지,(주)쎄닉,충청남도 천안시 서북구 직산읍 4산단7로 17-15,041-587-0801
천안제4일반산업단지,(주)오에치케이,충청남도 천안시 서북구 직산읍 4산단4로 11,041-587-0111
천안직산농공단지,(주)오에치케이,충청남도 천안시 서북구 직산읍 부송1길 55-14,041-587-0111
천안풍세일반산업단지,(주)알엠에스기산,충청남도 천안시 동남구 풍세면 풍세산단1로 55,041-585-9912
천안제4일반산업단지,주식회사 제일,충청남도 천안시 서북구 직산읍 4산단3로 36-12,041-585-9898
천안산업기술일반산업단지,(주)케이에스시스템,충청남도 천안시서북구 직산읍 삼은리 43-26번지 정밀가공지원센터,041-585-9311
천안제4일반산업단지,(주)세스,충청남도 천안시 서북구 직산읍 4산단4로 32,041-585-8501
천안마정일반산업단지,(주)부흥기업,충청남도 천안시서북구 직산읍 마정리 517번지,041-585-8241
천안제4일반산업단지,주식회사 오엔,충청남도 천안시 서북구 직산읍 4산단4로 52,041-585-6763
천안마정일반산업단지,나래엔지니어링 주식회사,충청남도 천안시 서북구 직산읍 마정1길 27,041-585-6700
천안마정일반산업단지,나래엔지니어링(주),충청남도 천안시서북구 직산읍 마정리 529번지,041-585-6700
천안마정일반산업단지,나래엔지니어링(주),충청남도 천안시서북구 직산읍 마정리-529번지,041-585-6700
천안산업기술일반산업단지,주식회사 토드,"충청남도 천안시 서북구 직산읍 직산로 136, 205호",041-585-6484
천안제4일반산업단지,(주)오피에스테크,"충청남도 천안시 서북구 직산읍 4산단5길 25-11, C동 106호",041-585-5732
천안산업기술일반산업단지,그린존에이피(주),충청남도 천안시서북구 직산읍 삼은리 43-5번지 충남테크로파크 번영관 2402호,041-585-5271
천안직산농공단지,미래카본 주식회사,충청남도 천안시 서북구 직산읍 부송1길 48,041-585-5234
천안산업기술일반산업단지,(주)에스피씨머트리얼즈그룹,충청남도 천안시 서북구 직산읍 직산로 136 (재)충남테크노파크천안밸리 번영관 3103호,041-585-5025
천안제2일반산업단지,우영산업(주),충청남도 천안시 서북구 2공단8길 1 (차암동),041-585-4488
천안직산농공단지,디에치이앤이(주),충청남도 천안시 서북구 직산읍 부송1길 42,041-585-4344
천안제4일반산업단지,하베코리아(주),충청남도 천안시 서북구 직산읍 4산단1길 27 (하베코리아(주)),041-585-3800
천안산업기술일반산업단지,티티엠(주),충청남도 천안시서북구 직산읍 삼은리 43-5번지 천안밸리 벤처관 1301호,041-585-3755
천안마정일반산업단지,세림제지(주),충청남도 천안시서북구 직산읍 남산리 486번지 송파빌딩 4층,041-585-3590
천안제4일반산업단지,대륙ENG,충청남도 천안시 서북구 직산읍 4산단7로 17-11 (대륙ENG),041-585-3397
천안마정일반산업단지,금오ADS(주),충청남도 천안시 서북구 직산읍 마정1길 27 (금오ADS(주)),041-585-2870
천안마정일반산업단지,금오에이디에스(주),충청남도 천안시 서북구 직산읍 마정1길 57,041-585-2870
천안제4일반산업단지,HIM,충청남도 천안시 서북구 직산읍 신갈리 243-1번지,041-585-2627
천안제4일반산업단지,HIM,"충청남도 천안시 서북구 직산읍 2공단5로 115, (2동)",041-585-2627
천안산업기술일반산업단지,(주)세스텍,충청남도 천안시서북구 직산읍 삼은리 43-1번지 충남테크노파크번영관 1101호,041-585-2030
천안산업기술일반산업단지,(주)유진텍이십일,충청남도 천안시서북구 직산읍 삼은리 43-22번지 천안밸리 벤처관 2204호,041-585-1595
천안제4일반산업단지,케이엔아이,충청남도 천안시 서북구 직산읍 4산단3로 36-18,041-585-1369
천안제3일반산업단지,(주)메리트,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 813호 (백석동)",041-585-1300
천안직산농공단지,영상테크,충청남도 천안시서북구 직산읍 부송리 72-10번지 직산부송농공단지내,041-585-0765
천안직산농공단지,(주)엘에스엘피,충청남도 천안시서북구 직산읍 부송리 72-2번지,041-585-0606
천안제4일반산업단지,(주)옵티레이,충청남도 천안시서북구 직산읍 모시리 269 번지,041-585-0266
천안제4일반산업단지,(주)옵티레이,충청남도 천안시 서북구 직산읍 4산단3로 133,041-585-0266
천안제4일반산업단지,(주)옵티레이,충청남도 천안시 서북구 직산읍 4산단5길 17,041-585-0266
천안풍세일반산업단지,(주)에이치케이티,충청남도 천안시 동남구 풍세면 풍세산단로 133,041-585-0125
천안직산농공단지,형제산업,충청남도 천안시서북구 직산읍 부송리 72-10번지 직산부송농공단지내,041-584-9528
천안제4일반산업단지,주식회사 한국이엔이,충청남도 천안시 서북구 직산읍 4산단4로 59,041-584-9500
천안제4일반산업단지,(주)네오테크,충청남도 천안시 서북구 직산읍 4산단4로 27,041-584-9261
천안마정일반산업단지,히트텍(주),충청남도 천안시서북구 직산읍 마정리 522번지,041-584-8881
천안제3일반산업단지,웨스글로벌(주),"충청남도 천안시 서북구 백석공단1로 10, B동 809, 810, 811, 812호(백석동, 천안 미래에이스하이테크시티)",041-584-8820
천안마정일반산업단지,(주)삼천리카보텍,충청남도 천안시서북구 직산읍 마정리 515번지,041-584-7774
천안마정일반산업단지,디에이치코리아(주)천안공장,충청남도 천안시서북구 직산읍 마정리 500번지,041-584-7531
천안직산농공단지,(주)삼진코리아,충청남도 천안시 서북구 직산읍 부송1길 48 (삼진코리아),041-584-7259
천안마정일반산업단지,(주)웅비기계,충청남도 천안시서북구 직산읍 마정리 499번지,041-584-6900
천안마정일반산업단지,다다정밀,충청남도 천안시서북구 직산읍 마정리 513번지 외 1필지,041-584-6783
천안제4일반산업단지,와이엠씨(주),충청남도 천안시서북구 직산읍 신갈리 258번지 천안제4지방산업단지 10-2블럭,041-584-6704
천안제4일반산업단지,(주)미래이피,충청남도 천안시서북구 직산읍 모시리 285번지,041-584-6611
천안직산농공단지,드림에너지(주),충청남도 천안시서북구 직산읍 부송리 72-14번지,041-584-6600
천안제4일반산업단지,케인지스,"충청남도 천안시 서북구 직산읍 2공단5로 115, 2동",041-584-6573
천안직산농공단지,칠성섬유(주),충청남도 천안시 서북구 직산읍 부송1길 80,041-584-6233
천안풍세일반산업단지,(주)아름테크놀러지,충청남도 천안시 동남구 풍세면 풍세산단로 226-6,041-584-6087
천안산업기술일반산업단지,주식회사 트임,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 생산관 3101호,번영관 1101호",041-584-5874
천안마정일반산업단지,(주)쿡메이트,"충청남도 천안시 서북구 직산읍 마정1길 38, 나동 지하1층 (태정금속)",041-584-5554
천안산업기술일반산업단지,(주)하나,충청남도 천안시서북구 직산읍 삼은리 43-22번지 충남테크노파크 천안밸리 벤처관2102호,041-584-5365
천안마정일반산업단지,우진엔지니어링,충청남도 천안시서북구 직산읍 마정리 522번지,041-584-5235
천안산업기술일반산업단지,(주)아이엔에스,충청남도 천안시서북구 직산읍 삼은리 43-22번지 충남테크노파크 생산관 1306호,041-584-5030
천안직산농공단지,(주)견지포장,충청남도 천안시 서북구 직산읍 부송1길 49 ((주)삼즈쎌텍),041-584-5001
천안직산농공단지,(주)헤스텍,충청남도 천안시서북구 직산읍 부송리 72-18 번지,041-584-5001
천안산업기술일반산업단지,에프엔에스테크(주),충청남도 천안시서북구 직산읍 삼은리 43-1번지 천안밸리번영관2302호,041-584-4460
천안제4일반산업단지,에프엔에스테크(주),충청남도 천안시서북구 직산읍 신갈리 245번지,041-584-4460
천안제4일반산업단지,에프엔에스테크(주),충청남도 천안시 서북구 직산읍 4산단2길 19,041-584-4460
천안산업기술일반산업단지,(주)루미에르,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 정보영상융합센터 214호",041-584-4243
천안백석농공단지,주식회사 고산테크,충청남도 천안시 서북구 백석공단5길 15 (백석동),041-584-4096
천안산업기술일반산업단지,세광테크놀러지(주),충청남도 천안시서북구 직산읍 삼은리 43-5번지 충남테크노파크번영관 4203호,041-584-3936
천안마정일반산업단지,(주)예담산업,충청남도 천안시서북구 직산읍 마정리 506번지,041-584-3381
천안산업기술일반산업단지,(주)세화전자,충청남도 천안시서북구 직산읍 삼은리 43-5번지 충남테크노파크 천안밸리 번영관 2101호,041-584-3323
천안제4일반산업단지,TC테크,충청남도 천안시 서북구 직산읍 2공단5로 115,041-584-3144
천안산업기술일반산업단지,(주)코닉스,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 벤처관 1201~1205호",041-584-2800
천안제4일반산업단지,두산엠티솔루션,충청남도 천안시서북구 직산읍 신갈리 280번지,041-584-2477
천안산업기술일반산업단지,(주)지일테크,충청남도 천안시서북구 직산읍 삼은리 43-5번지 천안밸리 번영관 1301호,041-584-2171
천안산업기술일반산업단지,(주)코드바이오,충청남도 천안시서북구 직산읍 삼은리 43-12번지 천안밸리 구관6동,041-584-1606
천안직산농공단지,(주)코드바이오,충청남도 천안시 서북구 직산읍 부송1길 62,041-584-1606
천안산업기술일반산업단지,(주)맥스파인,"충청남도 천안시서북구 직산읍 삼은리 514번지 충남테크노파크 성공관 104, 204호",041-584-1560
천안마정일반산업단지,(주)성우조명,충청남도 천안시서북구 직산읍 마정리 494번지,041-584-1460
천안산업기술일반산업단지,(주)케이에스비,"충청남도 천안시 서북구 직산읍 직산로 136, 구관 2동",041-584-1199
천안산업기술일반산업단지,(주)에이디엠,충청남도 천안시서북구 직산읍 삼은리 43-5번지 충남테크노파크천안밸리 생산관,041-584-1145
천안제4일반산업단지,(주)유앤에스에너지,"충청남도 천안시 서북구 직산읍 4산단3로 52, D동",041-584-0911
천안마정일반산업단지,(주)보나테크,충청남도 천안시 서북구 직산읍 마정1길 20 (영창산업),041-584-0524
천안마정일반산업단지,금환목형,충청남도 천안시서북구 직산읍 마정리 501번지,041-584-0425
천안직산농공단지,(주)오투바이오,"충청남도 천안시 서북구 직산읍 부송1길 62, 2동",041-584-0203
천안직산농공단지,(주)케이엠에프,충청남도 천안시 서북구 직산읍 부송1길 39,041-584-0106
천안마정일반산업단지,(주)신창,충청남도 천안시서북구 직산읍 마정리 518번지,041-583-9995
천안제4일반산업단지,대신기공,충청남도 천안시 서북구 직산읍 4산단4로 60,041-583-9877
천안마정일반산업단지,(주)태성기계,충청남도 천안시서북구 직산읍 마정리 503번지,041-583-9487
천안마정일반산업단지,(주)태성바이오,"충청남도 천안시 서북구 직산읍 마정1길 47, 비동",041-583-9487
천안마정일반산업단지,(주)아인시스템,충청남도 천안시 서북구 직산읍 마정1길 8,041-583-9441
천안직산농공단지,태평양물산(주),충청남도 천안시서북구 직산읍 부송리 72-12번지,041-583-9324
천안직산농공단지,성도테크,"충청남도 천안시 서북구 직산읍 부송1길 55-11, 직산부송농공단지내",041-583-9142
천안직산농공단지,(주)핀텍,충청남도 천안시 서북구 직산읍 부송1길 43 ((주)핀텍),041-583-9001
천안직산농공단지,신송식품(주),충청남도 천안시서북구 직산읍 부송리 72-1번지,041-583-8611
천안백석농공단지,경신가동보(주),충청남도 천안시서북구 백석동 555-48 번지,041-583-8383
천안제2일반산업단지,주식회사 신미씨앤에프,충청남도 천안시 서북구 2공단1로 163 (차암동),041-583-8381
천안직산농공단지,(주)한강하우스,충청남도 천안시서북구 직산읍 부송리 72-2번지,041-583-8000
천안백석농공단지,엔지티,충청남도 천안시서북구 백석동 555-25번지,041-583-7909
천안제4일반산업단지,무지개솔텍,충청남도 천안시서북구 직산읍 모시리 289 번지,041-583-7888
천안직산농공단지,(주)풍양상사,충청남도 천안시서북구 직산읍 부송리 72-11번지,041-583-7840
천안제3일반산업단지,주노오픈스토리,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 1010호 (백석동)",041-583-7333
천안산업기술일반산업단지,(주)케이티엠,충청남도 천안시서북구 직산읍 삼은리 43-5번지 천안밸리 번영관 3310호,041-583-7200
천안직산농공단지,(주)엠케이정공,충청남도 천안시 서북구 직산읍 부송1길 55-14,041-583-7147
천안마정일반산업단지,(주)쓰리쎄븐 마정2공장,충청남도 천안시서북구 직산읍 마정리 523번지,041-583-6804
천안마정일반산업단지,유원산업,충청남도 천안시서북구 직산읍 마정리 523번지,041-583-6801
천안직산농공단지,(주)지엔티웍스,"충청남도 천안시 서북구 직산읍 부송1길 62, 1층",041-583-6663
천안산업기술일반산업단지,정밀가공지원센터(주),충청남도 천안시서북구 직산읍 삼은리 43-26번지,041-583-6662
천안마정일반산업단지,대경산업,충청남도 천안시서북구 직산읍 마정리 492번지,041-583-6380
천안마정일반산업단지,은진공업,충청남도 천안시서북구 직산읍 마정리 516번지,041-583-6090
천안산업기술일반산업단지,(주)피토,충청남도 천안시서북구 직산읍 삼은리 43-22번지,041-583-5900
천안마정일반산업단지,(주)동우페이퍼텍,충청남도 천안시 서북구 직산읍 금곡로 35 (DongWooPapertech),041-583-5800
천안마정일반산업단지,(주)동우페이퍼텍,충청남도 천안시 서북구 직산읍 마정1길 62,041-583-5800
천안제4일반산업단지,상신이디피(주),충청남도 천안시 서북구 직산읍 4산단6길 27,041-583-5027
천안제4일반산업단지,금명정밀,충청남도 천안시 서북구 직산읍 4산단5길 25-8,041-583-4878
천안마정일반산업단지,(주)태정금속,충청남도 천안시서북구 직산읍 마정리 498번지,041-583-4780
천안마정일반산업단지,태정금속,충청남도 천안시서북구 직산읍 마정리 498 번지,041-583-4780
천안제5일반산업단지,에스티케이 글로벌,충청남도 천안시 동남구 성남면 세성로 28,041-583-4611
천안직산농공단지,HC코리아,충청남도 천안시서북구 직산읍 마정리 514번지,041-583-4606
천안마정일반산업단지,현대기공,충청남도 천안시 서북구 직산읍 금곡로 42 (히트텍(주)),041-583-4190
천안산업기술일반산업단지,씨에이치티,"충청남도 천안시서북구 직산읍 삼은리 43-5번지 충남테크노파크 천안밸리 번영관 1305,1310호",041-583-3856
천안제5일반산업단지,건영하이텍,충청남도 천안시 동남구 수신면 5산단6로 29,041-583-3533
천안백석농공단지,(주)알가,"충청남도 천안시 서북구 백석공단5길 10 (백석동, (주)알가)",041-583-3479
천안마정일반산업단지,명성PC,충청남도 천안시서북구 직산읍 마정리 527번지,041-583-3323
천안마정일반산업단지,(주)반도중부기계,충청남도 천안시 서북구 직산읍 금곡로 52-12,041-583-3239
천안산업기술일반산업단지,(주)위드알앤에이,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크영상미디어관 108호",041-583-3052
천안제2일반산업단지,비엔엑스코리아,"충청남도 천안시 서북구 2공단2로 95 (차암동, 천안테크노타운)",041-583-2002
천안풍세일반산업단지,한국미우라공업(주),충청남도 천안시 동남구 풍세면 풍세산단로 240-32,041-583-1822
천안제4일반산업단지,(주)제이아이테크,충청남도 천안시 서북구 직산읍 4산단3로 52 (백운ENG),041-583-1819
천안제4일반산업단지,성진기업,"충청남도 천안시 서북구 직산읍 4산단5길 25-10, C동 109호",041-583-1709
천안제4일반산업단지,(주)엠아이,"충청남도 천안시 서북구 직산읍 4산단4로 60, C동 2호",041-583-0918
천안마정일반산업단지,(주)엠아이,충청남도 천안시서북구 직산읍 마정리 509번지 마정산업단지,041-583-0917
천안제4일반산업단지,(주)디엠피엠씨,충청남도 천안시 서북구 직산읍 4산단2길 9,041-583-0750
천안산업기술일반산업단지,참자연주식회사,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 벤처관 2204호",041-583-0646
천안마정일반산업단지,우성Industry,충청남도 천안시서북구 직산읍 마정리 489번지,041-583-0571
천안제4일반산업단지,(주)엔에스에프,충청남도 천안시 서북구 직산읍 2공단5로 97-34,041-583-0571
천안제4일반산업단지,(주)엘에스이,충청남도 천안시 서북구 직산읍 4산단6길 22,041-583-0110
천안제5일반산업단지,(주)아워솔루션,충청남도 천안시 동남구 성남면 5산단3로 77-15,041-583-0058
천안산업기술일반산업단지,한국스미더스오아시스(주),"충청남도 천안시 서북구 직산읍 직산로 136, 생산관 2301호, 2302호",041-582-8000
천안산업기술일반산업단지,(주)제니스이엔지,"충청남도 천안시 서북구 직산로 136, 충남테크노파크 성공관 108호, 208호 (직산읍)",041-582-7897
천안제4일반산업단지,(주)비오엠,"충청남도 천안시 서북구 직산읍 4산단5길 11-4, B동 103호",041-582-5886
천안제4일반산업단지,(주)더블유아이,충청남도 천안시 서북구 직산읍 4산단7로 17-15,041-582-5700
천안산업기술일반산업단지,(주)순바이오,"충청남도 천안시 서북구 직산읍 직산로 136, 번영관 3303호",041-582-5401
천안제4일반산업단지,(주)동일에이앤티,"충청남도 천안시 서북구 직산읍 2공단5로 107, 1층",041-582-5017
천안제5일반산업단지,콘티테크대원에어스프링시스템즈,충청남도 천안시 동남구 성남면 5산단2로 114,041-582-2800
천안제4일반산업단지,주식회사 셀릭,충청남도 천안시 서북구 직산읍 4산단3로 15 OCI스페셜티,041-582-1765
천안제4일반산업단지,신창실업(주),충청남도 천안시서북구 직산읍 신갈리 257번지,041-582-0606
천안제4일반산업단지,(주)티에스이,충청남도 천안시서북구 직산읍 모시리 299번지,041-581-9955
천안산업기술일반산업단지,에프엔티(주),충청남도 천안시서북구 직산읍 삼은리 43-1번지 충남테크노파크 4106호,041-581-9001
천안풍세일반산업단지,(주)한영정밀,충청남도 천안시 동남구 풍세면 풍세산단2로 50-12,041-581-8833
천안제4일반산업단지,동오정밀(주),충청남도 천안시 서북구 직산읍 2공단5로 97-31,041-581-7900
천안산업기술일반산업단지,알비시스템 주식회사,"충청남도 천안시 서북구 직산읍 직산로 136, 번영관 2104호 (직산읍)",041-581-7825
천안직산농공단지,명문산업,충청남도 천안시 서북구 직산읍 부송1길 48 (삼진코리아),041-581-5400
천안산업기술일반산업단지,주식회사 인더스웰,"충청남도 천안시 서북구 직산읍 직산로 136, 생산관 2308호",041-581-2235
천안산업기술일반산업단지,주식회사 나익스,"충청남도 천안시 서북구 직산읍 직산로 136, 생산관 3311호",041-581-2201
천안제4일반산업단지,글로잭,"충청남도 천안시 서북구 직산읍 4산단5길 25-12, C동 107호",041-581-0967
천안직산농공단지,주식회사 세이프존,"충청남도 천안시 서북구 직산읍 부송1길 62, 1동 1호 ((주)서풍)",041-581-0963
천안직산농공단지,주식회사 스마트에코,"충청남도 천안시 서북구 직산읍 부송1길 62, 1동 2호",041-581-0708
천안풍세일반산업단지,(주)티에스이,충청남도 천안시 동남구 풍세면 풍세산단로 7,041-580-9955
천안제4일반산업단지,(주)아모그린텍,충청남도 천안시 서북구 직산읍 4산단7로 17-8,041-580-1710
천안제4일반산업단지,(주)아모그린텍 천안제2공장,충청남도 천안시 서북구 직산읍 4산단5길 90,041-580-1710
천안풍세일반산업단지,세원이엔지,충청남도 천안시 동남구 풍세면 보성리 804번지,041-579-9767
천안백석농공단지,주식회사 광성테크,충청남도 천안시 서북구 백석공단1로 70 (백석동),041-579-9155
천안제3일반산업단지,(주)에스엠티시스템,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 B124호 (백석동)",041-579-6331
천안백석농공단지,(주)센트로닉스,"충청남도 천안시 서북구 백석공단5길 25, 103호 (백석동)",041-579-5570
천안제2일반산업단지,주식회사 휴인,"충청남도 천안시 서북구 2공단3로 59, 1층,업성동625-7 (업성동)",041-579-5091
천안산업기술일반산업단지,주식회사 기운찬,"충청남도 천안시 서북구 직산읍 직산로 136, 정밀가공지원센터 1층",041-579-2203
천안산업기술일반산업단지,삼우테크,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 생산관 2109호 (직산읍, 천안밸리)",041-579-1212
천안산업기술일반산업단지,(주)상승글로벌,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 생산관 2105호",041-579-0175
천안제3일반산업단지,KOREA OA,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 905호 (백석동)",041-578-8978
천안제3일반산업단지,디자인 청어람,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 332호 (백석동)",041-578-2325
