업종명,기업체명,소재지,주생산품,전화번호
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)성지정보통신,충청남도 천안시 동남구 통정9로 30 (신방동),CCTV카메라 외,041-553-4249
기타기계 및 장비,(주)성진디앤피,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 601호 (백석동)",3D프린팅,041-551-5753
기타기계 및 장비,(주)성진하이메크제2공장,충청남도 천안시 서북구 성환읍 잠실길 24 ((주)우경) 외 1필지,profile rail(반도체물류시스템),041-588-2500
자동차 및 트레일러,(주)성진화이버,충청남도 천안시 동남구 성남면 세성로 255 (삼성테크),자동차UNDER COVER,
섬유제품,(주)성진화이버 제2공장,충청남도 천안시 동남구 성남면 대흥1길 256 (총 3 필지) 외 2필지,"밀드화이버,비밍",041-564-1253
기타기계 및 장비,(주)성호스텐,충청남도 천안시 서북구 직산읍 4산단3로 111,"가공용장비제조, 절삭가공 및 유사처리업",031-434-5661
기타기계 및 장비,(주)성환공업,충청남도 천안시서북구 입장면 양대리 251번지,"사료배합기,호밀수확기,퇴비살포기",041-587-2500
기타기계 및 장비,(주)세경테크,충청남도 천안시 서북구 직산읍 성진로 389,"자동차부품, 농기계부품",
금속가공제품(기계 및 가구제외),(주)세광정공,충청남도 천안시 동남구 성남면 용원4길 87-17,FLARE-NUT,041-557-6997
"의료, 정밀, 광학기기 및 시계",(주)세라젬,충청남도 천안시서북구 성거읍 오색당리 177-14번지 외 11필지,"개인용온열기(V4,V6)",041-529-4229
"의료, 정밀, 광학기기 및 시계",(주)세라젬,충청남도 천안시 서북구 성거읍 모전1길 73-20 ((주)엑사이엔씨.(주)엠소닉),개인용 온열기,041-529-4220
"의료, 정밀, 광학기기 및 시계",(주)세라젬 2공장,충청남도 천안시 서북구 성거읍 정자1길 10,개인용온열기,041-529-4220
가구,(주)세라젬 셀루피딕,충청남도 천안시 서북구 성거읍 정자1길 10,에어셀,041-569-0120
비금속광물제,(주)세라코,"충청남도 천안시 서북구 직산읍 군수1길 224, 외 2필지",초고온 산업용 내화단열재,041-581-3922
금속가공제품(기계 및 가구제외),(주)세림티앤디,충청남도 천안시 동남구 병천면 충절로 1946 외 1필지,"금속단조제품(자동차용,건설용,공구용)",
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)세미머트리얼즈,충청남도 천안시동남구 안서동 산 120-1번지 IBI CENTER 301.302호,다이오드,041-561-0978
전기장비,(주)세미머티리얼즈,"충청남도 천안시 동남구 병천면 충절로 1600, 한국기술교육대학교(캠퍼스 컴퍼",태양전지 어레이등,031-711-8978
전기장비,(주)세미머티리얼즈,충청남도 천안시 서북구 성거읍 망향로 230,"LED조명, LED가로등,하우징 ",031-622-8700
"펄프,종이 및 종이제품",(주)세민테크,충청남도 천안시 서북구 입장면 양대리 268 외 2필지,종이컵,041-583-3106
전기장비,(주)세스,충청남도 천안시 서북구 직산읍 4산단4로 32,배전반 및 전기자동제어반,041-585-8501
기타기계 및 장비,(주)세스텍,충청남도 천안시서북구 직산읍 삼은리 43-1번지 충남테크노파크번영관 1101호,산업용 로봇,041-585-2030
고무제품 및 플라스틱제품,(주)세영아이앤씨,충청남도 천안시서북구 입장면 흑암길 60,"보온재, 도장된 전자부품(TV case)",041-588-9001
고무제품 및 플라스틱제품,(주)세우산업,충청남도 천안시 동남구 수신면 우각골길 26 ((주)세우산업),스치로풀,041-552-8181
"의료, 정밀, 광학기기 및 시계",(주)세운메디칼 성환지점,충청남도 천안시서북구 성환읍 율금리 439-1번지,의료용기구,041-588-6600
기타기계 및 장비,(주)세원농기계,충청남도 천안시 서북구 복모3길 29 (성환읍),사료배합기,041-585-5625
화학물질 및 화학제품:의약품제외,(주)세인식품 제2공장,충청남도 천안시 동남구 성남면 세성로 34 (조일) (총 3 필지) 외 2필지,혼합조제 분말조미료,041-554-9183
기타기계 및 장비,(주)세일기연,충청남도 천안시 서북구 성환읍 잠실길 44-8,포장기계제조,041-584-2415
기타기계 및 장비,(주)세일메카닉스,충청남도 천안시 동남구 수신면 5산단로 222-34 ((주)세일메카닉스),지하철 의자,041-522-3101
기타기계 및 장비,(주)세일메카닉스,충청남도 천안시 동남구 성남면 5산단3로 77-9,반도체장비 프레임,041-522-3101
금속가공제품(기계 및 가구제외),(주)세일스틸엔지니어링,충청남도 천안시동남구 병천면 탑원리 2-1번지,압력용기부품,041-562-9110
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)세종보안시스템,충청남도 천안시 동남구 수신면 신풍1길 12-51,,041-571-9426
기타기계 및 장비,(주)세진아이지비,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 322호 (백석동)","고정밀감속기, 랙피니언",041-547-1825
금속가공제품(기계 및 가구제외),(주)세창,충청남도 천안시서북구 성거읍 석교리 61번지,건축내장용 강재,041-558-4114
비금속광물제,(주)세창이엔텍,충청남도 천안시 동남구 광덕면 차령고개로 682-11  ,아스콘,041-523-0677
"펄프,종이 및 종이제품",(주)세한,충청남도 천안시서북구 성거읍 신월리 213-3번지,전산용지,041-568-1967
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)세화전자,충청남도 천안시 서북구 성거읍 봉주로 195-1,"가변저항기,LED조명",041-584-3323
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)세화전자,충청남도 천안시서북구 직산읍 삼은리 43-5번지 충남테크노파크 천안밸리 번영관 2101호,가변콘덴서,041-584-3323
"의료, 정밀, 광학기기 및 시계",(주)센서엠알,충청남도 천안시동남구 안서동 산 29번지 단국대창업보육센터 102,NMRI 센서,041-522-2279
기타기계 및 장비,(주)센추리산업,"충청남도 천안시 서북구 직산읍 직산로 136 (재)충남테크노파크천안밸리 번영관 1303, 1308, 3306호, 정보영상관 413호",항온항습기,041-587-9809
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)센텍,충청남도 천안시서북구 부대동 275번지 창업보육센타 102호,CCTV,041-522-5610
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)센텍,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 713, A동 802,803호 (백석동)",cctv외,041-522-5610
전기장비,(주)센트로닉스,충청남도 천안시 동남구 망향로 45-10 (신부동),"배전반및전기자동제어반,하네스",041-579-5570
전기장비,(주)센트로닉스,"충청남도 천안시 서북구 백석공단5길 25, 103호 (백석동)",전기공급 및 제어장치,041-579-5570
화학물질 및 화학제품:의약품제외,(주)셀아이콘랩,충청남도 천안시 서북구 백석공단1로 58 (백석동),화장품,042-335-7942
섬유제품,(주)소리지오,"충청남도 천안시 동남구 풍세면 태학산로 470, 1층 3호, 4호","방음부스, 흡음패널, 룸튜닝제품",070-4827-4007
전기장비,(주)소울네이처푸드,충청남도 천안시 동남구 성남면 석곡2길 80,"건강가능식품,일반식품(유산균,디톡스음료,단백질보충재)",041-425-1423
식료품,(주)솔톤바이오켐,충청남도 천안시 서북구 봉주로 220 (성거읍),사료 및 동물용의약품,041-584-2151
기타기계 및 장비,(주)송광프라스틱,"충청남도 천안시 동남구 성남면 성남로 302, 265-1,264-4,266-1,266-2",자동차용플라스틱사출품,041-567-2205
고무제품 및 플라스틱제품,(주)송광프라스틱,충청남도 천안시서북구 입장면 기로리 265번지 외 1필지,자동차에어콘 케이스,041-585-0111
고무제품 및 플라스틱제품,(주)송림포장,충청남도 천안시 서북구 성환읍 수향리 156-3 외 3필지,"HDPE봉투,LDPE봉투,PP봉투",
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)송호,충청남도 천안시 서북구 성거읍 성거길 112,우레탄폼 시트,031-357-6293
고무제품 및 플라스틱제품,(주)수덕,충청남도 천안시 서북구 성환읍 복모리 280,반도체장비 커버,
고무제품 및 플라스틱제품,(주)수성이앤에스,충청남도 천안시 동남구 수신면 세성로 213,"탄성바닥재,도막형바닥재,미끄럼방지재",
금속가공제품(기계 및 가구제외),(주)수성하이테크,충청남도 천안시 서북구 2공단1로 59-24 (차암동),"반도체,LED부품 정밀세정 및 가공",041-583-0148
식료품,(주)수신오가피,충청남도 천안시 동남구 수신면 해정1길 210,다류(액상차),041-552-2555
전기장비,(주)수피아엘이디,충청남도 천안시 서북구 성거읍 오목모전길 56-24,LED조명,041-568-3211
기타기계 및 장비,(주)수호기술,충청남도 천안시 서북구 4산단7로 16-33 (업성동) 외 1필지,프레스용 금형,041-555-9568
식료품,(주)순바이오,"충청남도 천안시 서북구 직산읍 직산로 136, 번영관 3303호","복합조미식품, 기타 가공품",041-582-5401
기타제품,(주)슈가엔,충청남도 천안시 동남구 단대로 119 (안서동) (제2과학관311호),바이오슈가,041-529-3558
섬유제품,(주)슈모스,,마스크,
고무제품 및 플라스틱제품,(주)스냅팩,충청남도 천안시서북구 백석동 555-31번지,일회용충진,041-522-5601
화학물질 및 화학제품:의약품제외,(주)스노젠,충청남도 천안시 동남구 광덕면 세종로 4162 ,"섬유유연제,호제호발제,나염용호제,산업용바인더",041-553-8001
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)스마테크,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 438호 (백석동)",기판보호용 복합시드,041-566-8680
기타기계 및 장비,(주)스쿱,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 404호 (백석동)",3D프린터,041-569-9645
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)스탠다드코리아,"충청남도 천안시 서북구 양대기로길 89 (입장면, 한국생산기술연구원) Bi Center 실험2동304호",전동성페이스트,041-585-5025
기타제품,(주)스터링테크놀로지코리아,충청남도 천안시서북구 직산읍 군서리 79번지,열화수형 환풍기,
화학물질 및 화학제품:의약품제외,(주)스톤비랩,충청남도 천안시 서북구 직산읍 금곡로 52-21,실리콘 고무,031-628-7848
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)스페스,충청남도 천안시 동남구 통정8로 30 -7(신방동),"자동화장비(신호선,파워선)",041-572-0603
금속가공제품(기계 및 가구제외),(주)승일,충청남도 천안시서북구 직산읍 신갈리 256번지,"에어졸,캔,밸브",032-578-1811
금속가공제품(기계 및 가구제외),(주)승일 천안2사업장,충청남도 천안시 서북구 업성1길 27 (업성동) 외 5필지,"에어졸 돔, 보돔",041-621-9831
목재 및 나무제품(가구제외),(주)승일실업,충청남도 천안시 동남구 동면 화복로 536,발코니난간대외 4종,041-569-6157
가구,(주)승호테크,충청남도 천안시 차암동 113번지,반도체 임가공부품,
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)시광,충청남도 천안시서북구 부대동 275번지 공주대학교산학협력관 404,LED집광기,041-522-1500
전기장비,(주)시노펙스,충청남도 천안시 서북구 입장면 독정기로길 17,"Cable, Wire, Goretex,부직포",041-582-5611
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)시맨틱스,충청남도 천안시서북구 직산읍 삼은리 511번지 충남테크노파크 영상미디어센터 6층,초대형데이터 처리용네트워크,02-6000-6002
"의료, 정밀, 광학기기 및 시계",(주)시밀레,충청남도 천안시 동남구 목천읍 성남로 97-14,"전동유축기, UV 젖병소독기",041-553-0941
고무제품 및 플라스틱제품,(주)시스코,충청남도 천안시 서북구 입장면 연곡길 172-30 외 2필지,"유아용 포장용기, 농자재 호스마개, 농자재 사출품",031-676-8991
기타기계 및 장비,(주)시원물산,충청남도 천안시서북구 백석동 555-55번지,냉동기부품,041-554-7522
자동차 및 트레일러,(주)신라정밀,충청남도 천안시 동남구 수신면 수신로 619,선회 베어링,041-552-9801
기타기계 및 장비,(주)신라정밀,충청남도 천안시 동남구 성남면 5산단2로 134,"볼 및 롤러 베어링(선회베어링), 열처리된 철재부품",041-552-9801
자동차 및 트레일러,(주)신라정밀 제2공장,충청남도 천안시 동남구 수신면 우각골길 6 (수신면),SLEWING RING BEARING,041-552-9800
자동차 및 트레일러,(주)신라정밀홀딩스,충청남도 천안시 동남구 수신면 5산단로 186 (수신면),s/w bearing,041-552-9800
금속가공제품(기계 및 가구제외),(주)신성이엔지산업,충청남도 천안시 동남구 성남면 성남로 230-42 외 3필지,"CCTV POLL 구조물, 전기자동제어BOX",041-532-1377
금속가공제품(기계 및 가구제외),(주)신성하우징,충청남도 천안시 서북구 직산읍 직산로 222,"금속제창호, 복합창호, PVC창호",041-521-5471
인쇄 및 기록매체복제업,(주)신영이노텍,충청남도 천안시 동남구 성남면 대흥1길 235,"친환경 포장인쇄지,그라비아인쇄(식품포장재,파우치 등)",041-553-2337
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)신우전자,충청남도 천안시서북구 성성동 159-12번지,유선전화기,041-563-7047
금속가공제품(기계 및 가구제외),(주)신원환경기술,충청남도 천안시 동남구 동면 충절로 2754,소각플랜트설비,
"펄프,종이 및 종이제품",(주)신일수출포장,충청남도 천안시 동남구 성남면 대흥1길 173-55,종이상자,041-581-8433
"의료, 정밀, 광학기기 및 시계",(주)신창,충청남도 천안시서북구 직산읍 마정리 518번지,게측기부품,041-583-9995
자동차 및 트레일러,(주)신태양,충청남도 천안시 서북구 직산읍 성진로 154-23 ((주)오송) (총 2 필지) 외 1필지,자동차부품,041-521-5475
자동차 및 트레일러,(주)신한테크,충청남도 천안시서북구 입장면 양대기로길 89,자동차 엔진용부품,041-589-8615
기타기계 및 장비,(주)신한프랜트엔지니어링,충청남도 천안시서북구 직산읍 신갈리 258번지,제습기,031-488-8001
"펄프,종이 및 종이제품",(주)신현대,충청남도 천안시서북구 직산읍 신갈리 89-6번지 외 3필지,골판지상자,041-521-5852
금속가공제품(기계 및 가구제외),(주)신호에스앤피,충청남도 천안시 동남구 성남면 신사운전길 111,샌드위치판넬(벽체용및지붕용),041-564-6060
비금속광물제,(주)신호콘크리트,"충청남도 천안시 서북구 감나무골길 20-4 (업성동, 신호콘크리트)",벽돌,041-583-3065
자동차 및 트레일러,(주)신화에이치앤티,충청남도 천안시 서북구 신방로 47 (성환읍),"자동차에어콘부품(호스),배기매연절감장치",031-692-2034
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)신화인텍,충청남도 천안시서북구 백석동 555-50번지,"통신기기,자동차부품",041-554-7349
자동차 및 트레일러,(주)신흥기업,충청남도 천안시 서북구 직산읍 정자1길 207 (진양산업) (총 2 필지) 외 1필지,"필름, 냉난방장치",041-521-5856
가구,(주)실텍,충청남도 천안시 동남구 풍세면 풍세3길 29 ((주)실텍) 외 2필지,"송신용MODULTERMINEL, 기타 전자부품",041-553-1815
"의료, 정밀, 광학기기 및 시계",(주)싸이트로닉,"충청남도 천안시 서북구 2공단2로 95, 507호 (차암동, 천안테크노타운)",광계측기,041-522-3252
섬유제품,(주)쌍방울 천안공장,"충청남도 천안시 서북구 백석공단7로 65 (백석동) 2층, 4층",마스크,02-3780-1464
금속가공제품(기계 및 가구제외),(주)썬트랙,충청남도 천안시 서북구 입장면 삼사로 2028-14,"태양광, 발전세트",031-722-1842
기타기계 및 장비,(주)썬패치테크노,충청남도 천안시 서북구 성거읍 삼곡2길 69,반도체기계모듈(AutoWet station 설비),041-575-4044
섬유제품,(주)썬패치테크노,"충청남도 천안시 서북구 성거읍 문성2길 33 2층,3층",마스크,041-575-4044
기타기계 및 장비,(주)썬패치테크노,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 벤처관 1201호~1205호",MOLD,041-575-4044
기타기계 및 장비,(주)쎌텍,충청남도 천안시 서북구 직산읍 부송로 165-36 외 3필지,반도체조립용 및 검사용장비,041-584-7338
고무제품 및 플라스틱제품,(주)쏘노,충청남도 천안시 동남구 목천읍 삼성3길 10-11,"방음벽,흡음재",031-553-5320
기타기계 및 장비,(주)쓰리쎄븐,충청남도 천안시서북구 직산읍 금곡로 52-32,금형제조업,041-521-5471
금속가공제품(기계 및 가구제외),(주)쓰리쎄븐 마정2공장,충청남도 천안시서북구 직산읍 마정리 523번지,손톱깍이,041-583-6804
금속가공제품(기계 및 가구제외),(주)씨아이텍이엔씨,충청남도 천안시 동남구 광덕면 광덕로 424,"철구조물, 권양기",041-551-8403
화학물질 및 화학제품:의약품제외,(주)씨에스자원발산지점,충청남도 천안시 동남구 수신면 발산1길 147-49,활성탄,041-556-8765
금속가공제품(기계 및 가구제외),(주)씨에스테크,충청남도 천안시 서북구 성환읍 우신새터길 34-9,창호용 자동손잡이,041-522-9687
기타기계 및 장비,(주)씨에이치티,충청남도 천안시 서북구 직산읍 신갈1길 71-10,반도체 기계장비,041-521-5854
전기장비,(주)씨에이테크,충청남도 천안시 서북구 백석공단4길 8(백석동),"계장 제어장치, 프로세스 제어반, 기타 수질분석기, 유량계, 수위조절기, 농도계",041-414-0830
"의료, 정밀, 광학기기 및 시계",(주)씨엔에이치프라임,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 801호 (백석동)",자동화,041-906-5801
고무제품 및 플라스틱제품,(주)씨엔케미칼,충청남도 천안시 서북구 성거읍 문성2길 4,쓰레기봉투,041-575-2027
화학물질 및 화학제품:의약품제외,(주)씨엔티드림,충청남도 천안시 서북구 백석공단3길 60 (백석동),"스킨류 및 로션크림루, 폼클렌징류",043-260-2334
고무제품 및 플라스틱제품,(주)씨엔티솔루션,충청남도 천안시 서북구 성환읍 신가리 266-1 외 3필지,플라스틱 복합소재,031-664-2230
가구,(주)씨엘케이이엔지,충청남도 천안시 동남구 성남면 봉양리 831-4 외 1필지,시스템에어컨(고효율EHP),041-585-8307
금속가공제품(기계 및 가구제외),(주)씨제이스틸,충청남도 천안시서북구 차암동 66-1번지 외 6필지,"금속문,창호,셔터",041-557-6300
금속가공제품(기계 및 가구제외),(주)씨지아이,충청남도 천안시 서북구 직산읍 4산단3로 70,방열부품,070-5066-6274
전기장비,(주)씨케이도어,충청남도 천안시 서북구 직산읍 4산단4로 20,현관중문 연동장치,041-587-6760
기타기계 및 장비,(주)씨케이엘,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 번영관 1301호 (직산읍, 천안밸리)",반도체 제조용 자동화장비 제조,041-900-3015
화학물질 및 화학제품:의약품제외,(주)씨-테크,충청남도 천안시동남구 성남면 대흥리 98-7번지,화학제품제조업,041-553-1012
자동차 및 트레일러,(주)씨텍시스템,충청남도 천안시 서북구 직산읍 군서리 406-4 외 1필지,"자동차부품(시트히터 ECU),자동차용 오일필터",041-418-9410
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)아네시스테크놀러지,"충청남도 천안시 동남구 배울1길 42 (구룡동, (주)아네시스테크놀러지)","BURN IN BOARD, HI-FIX BOARD",041-575-5213
가구,(주)아르데코,충청남도 천안시서북구 두정동 400-6번지,가구,041-556-1400
화학물질 및 화학제품:의약품제외,(주)아름다운화장품,충청남도 천안시 서북구 성거읍 천흥8길 55 (아름다운화장품),"염모제류, 샴푸 및 린스",041-554-9000
전기장비,(주)아름테크놀러지,충청남도 천안시 동남구 풍세면 풍세산단로 226-6,전기판넬(방식용정류기),041-584-6087
금속가공제품(기계 및 가구제외),(주)아리산업 공장,충청남도 천안시 동남구 수남1길 22 (동면),"교량난간, 펜스, 옥외용벤치 등",043-237-7470
비금속광물제,(주)아마쎌지오스에어로젤스,충청남도 천안시 동남구 동면 화복로 363,에어로젤 블랭킷,031-897-8700
화학물질 및 화학제품:의약품제외,(주)아마쎌지오스에어로젤스,충청남도 천안시 동남구 성남면 대화리 337번지 외 1필지,"신소재생산, 개발",041-552-4910
전기장비,(주)아멕스테크,충청남도 천안시 서북구 성환읍 연암로 413 (일반공장) 외 7필지,"태양광조명기구, 소형항온항습기, 차량용Cooler Kit",
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)아모그린텍,충청남도 천안시 서북구 직산읍 4산단7로 17-8,LED 팩키지용 세라믹기판,041-580-1710
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)아모그린텍 천안제2공장,충청남도 천안시 서북구 직산읍 4산단5길 90,인쇄회로기판 및 전자부품 실장기판제조업,041-580-1710
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)아모센스,충청남도 천안시 서북구 직산읍 4산단5길 90,"LED,LED조명,인식칩모듈",041-590-5710
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)아모시스,"충청남도 천안시 동남구 문암로 76, 백석대학교 창업보육센타 311호 (안서동)",지자기 센서류,041-621-0328
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)아모에코시스템즈,충청남도 천안시 서북구 직산읍 4산단7로 17-8,여과기 필터,041-590-5714
자동차 및 트레일러,(주)아산씨에스,충청남도 천안시 동남구 수신면 백자1길 23-13 (화성산업),자동차 시트,02-523-9130
기타기계 및 장비,(주)아셀,충청남도 천안시 서북구 성환읍 율금9길 127-35,반도체 제조장비(조립용 기기),041-579-1262
고무제품 및 플라스틱제품,(주)아스타,충청남도 천안시서북구 업성동 255-7번지,씽크볼,041-583-4861
기타기계 및 장비,(주)아스토,충청남도 천안시 서북구 수레터1길 24 (차암동) 외 3필지,로봇,041-532-5804
식료품,(주)아우내푸드,충청남도 천안시 동남구 수신면 발산리 13 외 1필지,순대및육류가공식품,041-552-8588
기타기계 및 장비,(주)아워솔루션,충청남도 천안시 동남구 성남면 5산단3로 77-15,"반도체장비,절삭가공",041-583-0058
고무제품 및 플라스틱제품,(주)아이디,충청남도 천안시 동남구 수신면 5산단4로 46,"광학용필름 코팅,슬리팅",041-552-3473
기타기계 및 장비,(주)아이디시스템,충청남도 천안시 동남구 풍세면 풍세산단4로 28,"정수기,청정기 PBA",032-525-0761
기타기계 및 장비,(주)아이디티코리아,충청남도 천안시 동남구 풍세면 풍세산단3로 20,반도체디스플레이장비,070-4136-0880
기타운송장비,(주)아이메탈아이,충청남도 천안시 동남구 수신면 5산단로 222-34 ((주)세일메카닉스),철도차량용의자,031-427-7075
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)아이씨윅스,충청남도 천안시동남구 안서동 산 29번지 창업보육센타 103호,모뎀 IC외,041-552-5851
기타기계 및 장비,(주)아이앤티,충청남도 천안시 서북구 직산읍 양당리 44-9,프레스용금형,041-521-5856
화학물질 및 화학제품:의약품제외,(주)아이에스엠,"충청남도 천안시 서북구 2공단3로 15, A-2F (성성동)",감광제,041-555-2901
전기장비,(주)아이에스티 에스에스케이,충청남도 천안시 동남구 성남면 대흥1길 206-20 ((주)I.S.T),반도체 원자재 및 부자재,041-552-5383
전기장비,(주)아이엔에스,충청남도 천안시서북구 직산읍 삼은리 43-22번지 충남테크노파크 생산관 1306호,배전반 및 자동제어반 제조,041-584-5030
화학물질 및 화학제품:의약품제외,(주)아이엔티에스,충청남도 천안시 동남구 풍세면 풍세산단로 133,계면활성제,
전기장비,(주)아이엔티코리아,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 번영관 3202~3203호",차량용 LED등기구,070-4324-0880
고무제품 및 플라스틱제품,(주)아이엠씨,충청남도 천안시 동남구 수신면 신풍1길 11-38,"플라스틱필름, 판시트",041-555-1735
고무제품 및 플라스틱제품,(주)아이엠씨,충청남도 천안시 동남구 수신면 신풍1길 11-30,재단필름(보호용필름),041-555-1735
기타기계 및 장비,(주)아이엠테크,충청남도 천안시 서북구 4산단7로 16-12 (업성동),반도체 테스트용 소켓,041-588-0941
"의복,의복액세서리 및 모피제품",(주)아이오가닉코리아,충청남도 천안시 서북구 업성3길 118 (업성동),"의류,체육복",041-585-2708
금속가공제품(기계 및 가구제외),(주)아이지엘테크,충청남도 천안시 동남구 수신면 발산1길 281 (정일플랜트) (총 3 필지) 외 2필지,안정기 외,041-552-9992
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",(주)아이프로넷,충청남도 천안시서북구 성거읍 오목리 53-1번지,"무선통신 USN, 위치추적단말기",041-558-4048
기타기계 및 장비,(주)아인스,충청남도 천안시 동남구 성남면 신사대화로 103,"이불,요,침대카바등",041-554-6558
금속가공제품(기계 및 가구제외),(주)아인스,충청남도 천안시 동남구 성남면 대화리 353번지,"알루미늄처리품,SUS처리품",041-622-0868
기타기계 및 장비,(주)아인시스템,충청남도 천안시 서북구 직산읍 마정1길 8,"식품화학기계, 분무건조기",041-583-9441
기타기계 및 장비,(주)안마이크론시스템,충청남도 천안시 서북구 성환읍 왕지1길 109,디스플레이장비,041-904-9493
기타기계 및 장비,(주)안마이크론시스템,"충청남도 천안시 서북구 직산읍 직산로 136, 생산관 2202호,2203호 (천안밸리)",디스플레이 반도체 장비,041-904-9400
금속가공제품(기계 및 가구제외),(주)안전기업,충청남도 천안시 동남구 풍세면 잔다리길 31 ((주)안전기업),"도로, 교통 안전 표지판",041-573-8563
기타기계 및 장비,(주)알가,"충청남도 천안시 서북구 백석공단5길 10 (백석동, (주)알가)",금형 및 주형물,041-583-3479
기타기계 및 장비,(주)알엠에스기산,충청남도 천안시 동남구 풍세면 풍세산단1로 55,"방음방진제품,자동차부품",041-585-9912
전기장비,(주)알티에스에너지,"충청남도 천안시 서북구 직산읍 직산로 136 (재)충남테크노파크천안밸리 정보영상융합센터 107호, 108호",태양광 발전장치,070-7425-8690
기타기계 및 장비,(주)알티자동화,"충청남도 천안시 서북구 직산읍 직산로 136, 번영관 3308호(충남테크노파크)",반도체물류자동화장비,041-567-5580
고무제품 및 플라스틱제품,(주)애니원,충청남도 천안시 동남구 수신면 5산단6로 45,양면테이프,041-410-3500
전기장비,(주)애니트랜스,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 605호 (백석동)",전시 및 광고용 조명장치 외,041-532-1692
자동차 및 트레일러,(주)양우,충청남도 천안시서북구 성환읍 도하리 363번지 외 1필지,자동차부품,041-582-3290
금속가공제품(기계 및 가구제외),(주)양우엔피에스,충청남도 천안시 서북구 직산읍 4산단3로 36-6 ((주)양우엔피에스),우레탄패널,031-319-0171
금속가공제품(기계 및 가구제외),(주)어썸리드,충청남도 천안시 서북구 성환읍 안궁3길 30 (성환읍),반도체장비표면처리,02-703-8991
기타기계 및 장비,(주)어플라이드엠디,충청남도 천안시 서북구 입장면 용정리 197-1,반도체 제조용 기계,
자동차 및 트레일러,(주)에나인더스트리,충청남도 천안시 서북구 성거읍 모전1길 144 ((주)에나인더스트리천안공장),자동차부품,041-620-2200
자동차 및 트레일러,(주)에나인더스트리,충청남도 천안시 서북구 입장면 독정리 6,랙바,041-620-2200
전기장비,(주)에너담,충청남도 천안시 서북구 성거읍 석문길 95,"리튬이온 이차전지 배터리팩,ESS",041-417-1020
전기장비,(주)에너웨이,"충청남도 천안시 동남구 병천면 충절로 1600, 205호(한국기술교육대학교 캠퍼스컴퍼니)","에너지절감난방장치, 전력설비 보호장치",
기타기계 및 장비,(주)에드마임,"충청남도 천안시 서북구 직산읍 직산로 136, ,2402호(충남테크노파크 번영관)","나노온습도조절기,저온저장고,공기청정기",041-587-5151
"펄프,종이 및 종이제품",(주)에땅 직산공장,충청남도 천안시서북구 직산읍 부송리 72-18번지 외 1필지 외 1필지,포장용 종이상자,041-588-4881
기타기계 및 장비,(주)에버다임,충청남도 천안시서북구 입장면 하장리 309번지,STOP VALVE ASS'Y,041-587-8600
금속가공제품(기계 및 가구제외),(주)에보엘,충청남도 천안시 서북구 성환읍 율금1길 8-5,보일러부품 ,041-584-5711
기타기계 및 장비,(주)에스디이엔지,충청남도 천안시서북구 백석동 555-53 번지,LED Cassette dhl,041-554-1903
"펄프,종이 및 종이제품",(주)에스디테크,충청남도 천안시동남구 북면 상동리 187-1번지 외 1필지 외 1필지,식품포장지,041-569-3361
기타기계 및 장비,(주)에스메카,충청남도 천안시 서북구 백석공단6길 47 (백석동),산업용 로봇,041-529-3850
